2025-06-13 03:09:45,819 - INFO - System Monitor: Staring system monitoring...
2025-06-13 03:09:45,828 - INFO - CPU: Usage: 9.5%
2025-06-13 03:09:45,828 - INFO - Memory: Usage: 85.6%
2025-06-13 03:09:45,849 - INFO - System Info: Hostname: LAPTOP-3E6EUQA8
2025-06-13 03:09:45,849 - INFO - System Info: Operating System: Windows 10
2025-06-13 03:09:45,849 - INFO - System Info: Python Version: 3.11.9
2025-06-13 03:09:45,861 - INFO - Network: Bytes Sent: 180469282, Bytes Received: 4371855318
2025-06-13 03:09:45,862 - INFO - Software: Running Software:
2025-06-13 03:11:38,772 - INFO - System Monitor: Starting system monitoring...
2025-06-13 03:11:38,780 - INFO - CPU: Usage: 10.5%
2025-06-13 03:11:38,781 - INFO - Memory: Usage: 90.1%
2025-06-13 03:11:40,336 - INFO - Software: PID: 14172, Name: svchost.exe, Username: None
2025-06-13 03:11:40,336 - INFO - Software: PID: 14420, Name: chrome.exe, Username: LAPTOP-3E6EUQA8\Kim Nghi
2025-06-13 03:11:40,346 - INFO - Software: PID: 14444, Name: MfeAVSvc.exe, Username: None
2025-06-13 03:11:40,346 - INFO - Software: PID: 14508, Name: AcPowerNotification.exe, Username: LAPTOP-3E6EUQA8\Kim Nghi
2025-06-13 03:11:40,347 - INFO - Software: PID: 14548, Name: RuntimeBroker.exe, Username: LAPTOP-3E6EUQA8\Kim Nghi
2025-06-13 03:11:40,348 - INFO - Software: PID: 14712, Name: powershell.exe, Username: LAPTOP-3E6EUQA8\Kim Nghi
2025-06-13 03:11:40,348 - INFO - Software: PID: 14720, Name: AsusSystemAnalysis.exe, Username: LAPTOP-3E6EUQA8\Kim Nghi
2025-06-13 03:11:40,359 - INFO - Software: PID: 14764, Name: servicehost.exe, Username: None
2025-06-13 03:11:40,369 - INFO - Software: PID: 14788, Name: svchost.exe, Username: None
2025-06-13 03:11:40,370 - INFO - Software: PID: 14880, Name: WebexHost.exe, Username: LAPTOP-3E6EUQA8\Kim Nghi
2025-06-13 03:11:40,382 - INFO - Software: PID: 14900, Name: mcapexe.exe, Username: None
